subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
UniProt:Q96IV0,skos:exactMatch,EC:3.5.1.52,https://www.ncbi.nlm.nih.gov/pubmed/24651605,"The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.",2014-03-20,exact match,NA,NA
UniProt:Q96IV0,RO:0002331,GO:0006517,https://www.ncbi.nlm.nih.gov/pubmed/24651605,"The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.",2014-03-20,involved in,NA,NA
UniProt:Q96IV0,RO:0002331,GO:0006515,https://www.ncbi.nlm.nih.gov/pubmed/24651605,Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.,2014-03-20,involved in,NA,NA
UniProt:Q96IV0,RO:0002331,GO:0006516,https://www.ncbi.nlm.nih.gov/pubmed/24651605,Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.,2014-03-20,involved in,NA,NA
UniProt:Q96IV0,RO:0002331,GO:0097466,https://www.ncbi.nlm.nih.gov/pubmed/24651605,Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.,2014-03-20,involved in,NA,NA
UniProt:Q96IV0,RO:0002331,GO:0071712,https://www.ncbi.nlm.nih.gov/pubmed/24651605,Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.,2014-03-20,involved in,NA,NA
UniProt:Q96IV0,RO:0002331,REACT:R-HSA-532668,https://www.ncbi.nlm.nih.gov/pubmed/24651605,Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.,2014-03-20,involved in,NA,NA
UniProt:Q96IV0,RO:0002327,GO:0000224,https://www.ncbi.nlm.nih.gov/pubmed/24651605,"The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.",2014-03-20,enables,NA,NA
UniProt:Q96IV0,RO:0002331,REACT:R-HSA-8850594,https://www.ncbi.nlm.nih.gov/pubmed/24651605,"The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.",2014-03-20,involved in,NA,NA
UniProt:Q96IV0,BFO:0000050,GO:0005829,https://www.ncbi.nlm.nih.gov/pubmed/24651605,Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.,2014-03-20,is part of,NA,NA
