EnsembleID,symbol,log2FoldChange,pvalue,padj,Regulation
ENSG00000069011.10,PITX1,4.76965758490899,9.567528831452081e-39,2.68723182288995e-34,Upregulated
ENSG00000170689.8,HOXB9,4.76079002530221,1.62917128807974e-25,2.28792669841479e-21,Upregulated
ENSG00000180818.4,HOXC10,4.57397643425006,2.9104299996911802e-24,2.7248415800442e-20,Upregulated
ENSG00000005073.5,HOXA11,4.70400455073532,3.91947823574739e-24,2.75215963018592e-20,Upregulated
ENSG00000253293.3,HOXA10,4.27331061215555,8.03136006429936e-24,4.51153620251952e-20,Upregulated
ENSG00000128710.5,HOXD10,4.60245078231639,1.3521102780291998e-23,6.32945356316769e-20,Upregulated
ENSG00000151615.3,POU4F2,3.96223486620926,3.4190154684397996e-23,1.3718555351724102e-19,Upregulated
ENSG00000106031.6,HOXA13,4.16589885046887,6.20040964017082e-23,2.17688631954347e-19,Upregulated
ENSG00000128709.10,HOXD9,3.6572882262434,1.21753910740387e-18,3.799668989961391e-15,Upregulated
ENSG00000175879.7,HOXD8,3.86684021998479,2.0921445891424e-18,5.87620650752426e-15,Upregulated
ENSG00000106004.4,HOXA5,3.87962436145332,4.49476181225127e-18,1.10860563891603e-14,Upregulated
ENSG00000152779.12,SLC16A12,3.51387749073207,4.7364501965294596e-18,1.10860563891603e-14,Upregulated
ENSG00000113196.2,HAND1,3.70329711111459,1.4628190285594e-17,3.16047677347291e-14,Upregulated
ENSG00000171540.6,OTP,2.99853815985825,3.92922279199037e-17,7.882862897045261e-14,Upregulated
ENSG00000056736.5,IL17RB,1.39275708765738,3.8013339286969006e-16,7.117871070353999e-13,Upregulated
ENSG00000163817.11,SLC6A20,2.35539300093526,2.48760333867255e-15,4.36683218583099e-12,Upregulated
ENSG00000197757.7,HOXC6,3.60889068897737,4.2627883990449706e-15,7.042878691998579e-12,Upregulated
ENSG00000112303.9,VNN2,2.49089103721551,6.0322508045920706e-15,9.19868983426586e-12,Upregulated
ENSG00000183943.5,PRKX,1.4191488518778,6.222633490620261e-15,9.19868983426586e-12,Upregulated
ENSG00000180229.8,HERC2P3,2.06867284615301,8.09156752787636e-15,1.13633928577732e-11,Upregulated
ENSG00000166426.7,CRABP1,2.15188747205129,5.34741538512233e-14,7.152040758187189e-11,Upregulated
ENSG00000150782.7,IL18,2.02301778504319,6.04543669049164e-14,7.718099105719939e-11,Upregulated
ENSG00000168779.14,SHOX2,2.5905791455203,7.744229677787971e-14,9.45705125913176e-11,Upregulated
ENSG00000106809.6,OGN,3.09656172053577,8.19510850703254e-14,9.590667193209289e-11,Upregulated
ENSG00000100985.7,MMP9,2.59753677720048,8.82089535804535e-14,9.910099516856789e-11,Upregulated
ENSG00000146278.10,PNRC1,0.787521831473794,1.16160836957869e-13,1.25484977985987e-10,Upregulated
ENSG00000127083.7,OMD,2.07842979778362,1.42527874014864e-13,1.48265940646499e-10,Upregulated
ENSG00000137462.6,TLR2,1.78482549474451,2.4278255622252e-13,2.35139091607653e-10,Upregulated
ENSG00000134294.9,SLC38A2,1.31278354186586,3.02416310384612e-13,2.83132230325753e-10,Upregulated
ENSG00000240990.5,HOXA11-AS,3.27423746495265,3.96931897176625e-13,3.5963310309677e-10,Upregulated
ENSG00000096060.10,FKBP5,1.67161361767241,4.80305881472982e-13,4.2157347790411403e-10,Upregulated
ENSG00000198417.5,MT1F,1.72970858010457,5.54961984051335e-13,4.72339916546965e-10,Upregulated
ENSG00000112175.6,BMP5,3.14897754822123,5.93003787505277e-13,4.89873452342962e-10,Upregulated
ENSG00000126778.6,SIX1,2.65990072888614,6.72932057853288e-13,5.25017853025703e-10,Upregulated
ENSG00000100906.6,NFKBIA,1.10503961351794,7.39796667907621e-13,5.61585648960037e-10,Upregulated
ENSG00000102362.11,SYTL4,1.87770322224551,8.76003527642675e-13,6.474818705499951e-10,Upregulated
ENSG00000003989.12,SLC7A2,1.97623531717526,9.79113580503e-13,7.05137516297122e-10,Upregulated
ENSG00000172296.8,SPTLC3,2.44736455302809,1.3133596673658398e-12,9.222083244326101e-10,Upregulated
ENSG00000205364.3,MT1M,1.73223048373972,1.4348370951391599e-12,9.82933402223748e-10,Upregulated
ENSG00000164093.10,PITX2,3.40383316092993,1.6649850019331099e-12,1.1134388987927401e-09,Upregulated
ENSG00000096696.9,DSP,2.34930695737537,1.969496816884e-12,1.2864478394376902e-09,Upregulated
ENSG00000115590.9,IL1R2,3.03754943523116,3.34580929619785e-12,2.1168711985743e-09,Upregulated
ENSG00000124107.5,SLPI,2.7184750592703,3.39157631416113e-12,2.1168711985743e-09,Upregulated
ENSG00000162909.13,CAPN2,0.881802813470483,3.63211937291838e-12,2.2177247136338803e-09,Upregulated
ENSG00000198743.5,SLC5A3,1.22069960288672,7.37460817844917e-12,4.4070344661298305e-09,Upregulated
ENSG00000163884.3,KLF15,1.23810265182995,1.3976390578822698e-11,8.178226712237341e-09,Upregulated
ENSG00000163221.7,S100A12,2.96150615578327,1.48154551221338e-11,8.492279347252511e-09,Upregulated
ENSG00000168209.4,DDIT4,1.50860348219003,1.5837395125036398e-11,8.89649833753793e-09,Upregulated
ENSG00000142494.9,SLC47A1,1.80495376365473,2.3721663631672297e-11,1.26910839778949e-08,Upregulated
ENSG00000205929.5,C21orf62,1.86440621331048,2.4712978366218498e-11,1.26910839778949e-08,Upregulated
ENSG00000243836.1,WDR86-AS1,2.50558981942294,2.48516971831887e-11,1.26910839778949e-08,Upregulated
ENSG00000128714.5,HOXD13,3.27672087825828,2.54809775081621e-11,1.27800752727098e-08,Upregulated
ENSG00000226673.1,RP11-359N11.2,2.9913987875834,2.7493347415981498e-11,1.33138904978047e-08,Upregulated
ENSG00000168229.3,PTGDR,2.49028011308915,2.8543909969328796e-11,1.35883525306532e-08,Upregulated
ENSG00000147606.4,SLC26A7,2.35679994435962,3.0346858189758095e-11,1.42058700995956e-08,Upregulated
ENSG00000200127.1,Y_RNA,1.9344413652495,4.2004051423580596e-11,1.90285127795824e-08,Upregulated
ENSG00000111817.11,DSE,1.09671645910783,5.4659546865580694e-11,2.43686141716439e-08,Upregulated
ENSG00000130600.10,H19,2.12126255948296,5.812645546183739e-11,2.55093399149473e-08,Upregulated
ENSG00000112499.7,SLC22A2,3.08931807933233,6.92931429601087e-11,2.99421000972396e-08,Upregulated
ENSG00000183072.9,NKX2-5,2.8106532539096,8.144534513338009e-11,3.46599304357764e-08,Upregulated
ENSG00000069702.6,TGFBR3,1.37614123797527,1.04121727258364e-10,4.30068669633186e-08,Upregulated
ENSG00000125144.9,MT1G,1.74851265094164,1.61364646792931e-10,6.47464119210438e-08,Upregulated
ENSG00000112299.7,VNN1,2.42348834557699,1.67873560493336e-10,6.64093618813569e-08,Upregulated
ENSG00000092607.9,TBX15,1.98533260802771,1.72760029523517e-10,6.64700130031098e-08,Upregulated
ENSG00000138772.8,ANXA3,1.2440619933506,1.72140454741863e-10,6.64700130031098e-08,Upregulated
ENSG00000131668.9,BARX1,2.27994176047838,1.78446243712122e-10,6.77299952316538e-08,Upregulated
ENSG00000112312.5,GMNN,1.04418134192403,1.89910099013106e-10,7.11200660130814e-08,Upregulated
ENSG00000115648.9,MLPH,2.11991523335552,1.99527549630644e-10,7.37385564009987e-08,Upregulated
ENSG00000111087.5,GLI1,1.64408943789062,2.20103170730578e-10,7.92568943116634e-08,Upregulated
ENSG00000108950.7,FAM20A,2.05615622159355,2.46860865510094e-10,8.6669764119775e-08,Upregulated
ENSG00000165474.5,GJB2,2.21200246648096,2.59331551765335e-10,8.99240159806538e-08,Upregulated
ENSG00000169715.10,MT1E,1.37586989843784,2.76237618559475e-10,9.46181218595118e-08,Upregulated
ENSG00000180447.5,GAS1,1.57661728700604,3.2302042121146603e-10,1.09309332175499e-07,Upregulated
ENSG00000106511.5,MEOX2,1.58638991684149,3.28618608584742e-10,1.09879891182377e-07,Upregulated
ENSG00000113916.13,BCL6,1.05048138986607,4.72439676117682e-10,1.50788786171788e-07,Upregulated
ENSG00000163464.7,CXCR1,2.62673610555466,5.04366984924239e-10,1.59170286579406e-07,Upregulated
ENSG00000164761.4,TNFRSF11B,2.17659742594214,5.63066038685958e-10,1.70051998156693e-07,Upregulated
ENSG00000167644.7,C19orf33,2.30783659349457,5.60674834743971e-10,1.70051998156693e-07,Upregulated
ENSG00000128585.13,MKLN1,0.689564926786531,5.95822700262724e-10,1.76156549287149e-07,Upregulated
ENSG00000124491.11,F13A1,1.93994891366774,6.02499749974513e-10,1.76275109140981e-07,Upregulated
