ensemble_id,symbol,log2FoldChange,pvalue,padj,regulation,source,subject_id,subject_label,property_id,property_label,reference_id,object_id
ENSG00000069011.10,PITX1,4.76965758490899,9.567528831452078e-39,2.68723182288995e-34,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000069011
ENSG00000170689.8,HOXB9,4.76079002530221,1.6291712880797398e-25,2.2879266984147896e-21,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000170689
ENSG00000180818.4,HOXC10,4.57397643425006,2.91042999969118e-24,2.7248415800442e-20,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000180818
ENSG00000005073.5,HOXA11,4.704004550735321,3.91947823574739e-24,2.75215963018592e-20,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000005073
ENSG00000253293.3,HOXA10,4.27331061215555,8.03136006429936e-24,4.5115362025195195e-20,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000253293
ENSG00000128710.5,HOXD10,4.60245078231639,1.3521102780292e-23,6.32945356316769e-20,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000128710
ENSG00000151615.3,POU4F2,3.9622348662092595,3.4190154684397996e-23,1.37185553517241e-19,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000151615
ENSG00000106031.6,HOXA13,4.165898850468871,6.200409640170819e-23,2.1768863195434696e-19,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000106031
ENSG00000128709.10,HOXD9,3.6572882262434,1.21753910740387e-18,3.79966898996139e-15,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000128709
ENSG00000175879.7,HOXD8,3.86684021998479,2.0921445891424e-18,5.87620650752426e-15,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000175879
ENSG00000106004.4,HOXA5,3.87962436145332,4.49476181225127e-18,1.1086056389160299e-14,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000106004
ENSG00000152779.12,SLC16A12,3.5138774907320696,4.7364501965294596e-18,1.1086056389160299e-14,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000152779
