FlyBase ID,Symbol,log2FoldChange,pvalue,padj,Regulation
FBgn0035904,GstO3,0.5768712060245881,2.13e-08,1.54e-06,Upregulated
FBgn0051469,CG31469,0.575624665746455,0.002022103260598,0.035791491350558,Upregulated
FBgn0051092,LpR2,0.591263653687931,1.44e-08,1.06e-06,Upregulated
FBgn0037225,TwdlG,0.600724762890202,0.001038840531484,0.020426631931748,Upregulated
FBgn0039711,CG7824,0.603307647423685,0.001647262776846,0.029977532786143995,Upregulated
FBgn0027932,Akap200,0.6069818526751141,3.67e-09,3.04e-07,Upregulated
FBgn0036757,Ir75a,0.609236847606016,0.002591719223045,0.043926567006319,Upregulated
FBgn0262787,CG43168,0.6122728018940949,2.36e-06,0.000105499667646,Upregulated
FBgn0037176,CG14456,0.619412982144019,6.52e-05,0.001943893554738,Upregulated
FBgn0052694,CG32694,0.623773615277522,1.39e-10,1.34e-08,Upregulated
FBgn0001233,Hsp83,0.6258046145991889,1.72e-11,1.98e-09,Upregulated
FBgn0085452,CG34423,0.637545368002547,0.000969842711204,0.019305842591367,Upregulated
FBgn0038946,rdhB,0.639864819447666,6.19e-06,0.000251865515817,Upregulated
FBgn0031490,CG17264,0.6444356771692541,0.00041800411226,0.009569686050664,Upregulated
FBgn0028473,Non1,0.65034807398498,8.289999999999996e-12,1e-09,Upregulated
FBgn0001230,Hsp68,0.654610245462431,2.71e-08,1.92e-06,Upregulated
FBgn0004425,LysB,0.654916446490361,0.001994733976812,0.03535314421567,Upregulated
FBgn0003231,ref(2)P,0.671505759344567,1.34e-10,1.31e-08,Upregulated
FBgn0262656,Myc,0.6721493597413011,3.57e-06,0.00015148023395700002,Upregulated
FBgn0004426,LysC,0.672727965810355,0.001385869674457,0.026095099445809,Upregulated
FBgn0266594,CR45119,0.6762520238314951,0.000167962651808,0.004326870893622,Upregulated
FBgn0038838,TotB,0.6763238285145401,0.0008423641788539999,0.017274827933724996,Upregulated
FBgn0261560,Thor,0.67692790838306,6.66e-08,4.31e-06,Upregulated
FBgn0035623,mthl2,0.677217118295424,2.22e-06,0.00010017715552299998,Upregulated
FBgn0267706,CR46039,0.686418968777082,0.000831641082782,0.017080725173744,Upregulated
FBgn0026315,Ugt35a,0.6893552528324189,9.52e-06,0.000368215605709,Upregulated
FBgn0260000,CG17570,0.691512833786422,0.001138903566077,0.022025291756501,Upregulated
FBgn0036678,CG11905,0.694947184053071,0.0007048130138589999,0.014743515371576,Upregulated
FBgn0265708,CR44515,0.698978408233549,0.000430498204059,0.009839130670539,Upregulated
FBgn0035557,CG11353,0.7012481428519429,0.000487091563829,0.01080515534403,Upregulated
FBgn0029827,CG6048,0.703210772490699,1.09e-05,0.000416773260884,Upregulated
FBgn0037562,CG11671,0.7059754334707511,0.0008835926306880002,0.017903960528684,Upregulated
FBgn0040735,CG16836,0.7060530785683801,7.629999999999998e-07,3.950000000000001e-05,Upregulated
FBgn0039778,Jon99Fi,0.7067169637930409,0.000856541076472,0.017460062543825,Upregulated
FBgn0038073,CG14395,0.7077992564747021,0.0005594270899019999,0.012151651476006,Upregulated
FBgn0034289,CG10910,0.711370752824961,0.0008139311907040001,0.016767723588774,Upregulated
FBgn0031034,CG14205,0.7149137173238571,0.000151072834163,0.003960111915157,Upregulated
FBgn0265897,CR44686,0.7176474641113341,0.00018814429314700006,0.004792208112139,Upregulated
FBgn0038530,AttD,0.725238911661475,0.000270287015559,0.00655942590321,Upregulated
FBgn0030993,Mec2,0.730375904196497,1.26e-07,7.79e-06,Upregulated
FBgn0259682,Jabba,0.7428679420724399,2.99e-09,2.52e-07,Upregulated
FBgn0030929,CG15043,0.743059441696603,3.41e-08,2.36e-06,Upregulated
FBgn0013688,mt:srRNA,0.7460757496771009,2.81e-05,0.000951268464897,Upregulated
FBgn0037126,CG14567,0.7517114276649491,1.22e-05,0.00045951146083,Upregulated
FBgn0036767,CG16775,0.7592295140184,5.4899999999999986e-05,0.0016857425697,Upregulated
FBgn0037762,eloF,0.798221343596516,0.000145088287053,0.003854635195749,Upregulated
FBgn0035512,Cpr64Ac,0.798747463131192,0.000171031481582,0.004395768065703,Upregulated
FBgn0037964,CG14731,0.808457297312595,4.77e-05,0.0014981896248110005,Upregulated
FBgn0035409,CG14963,0.812920631590543,6.97e-05,0.002053256681554,Upregulated
FBgn0053926,CG33926,0.8151133976612729,3.29e-07,1.85e-05,Upregulated
FBgn0034331,CG15067,0.8209742391192719,1.18e-10,1.17e-08,Upregulated
FBgn0259237,CG42335,0.833053185496305,4.31e-05,0.0013745059832229998,Upregulated
FBgn0034160,CG5550,0.837120990485317,5.920000000000001e-05,0.001802482154561,Upregulated
FBgn0262366,CG43064,0.840933988254539,1.02e-05,0.000393286155753,Upregulated
FBgn0264272,mwh,0.8462513489345249,2.54e-07,1.46e-05,Upregulated
FBgn0039298,to,0.861404716743453,3.47e-05,0.001137612804199,Upregulated
FBgn0040733,CG15068,0.864564182066607,1.9e-14,3.2599999999999994e-12,Upregulated
FBgn0040104,lectin-24A,0.876987267747779,1.63e-05,0.000594834574698,Upregulated
FBgn0010038,GstD2,0.8778728199172742,1.78e-06,8.27e-05,Upregulated
FBgn0036948,CG7298,0.878655456547616,1.7800000000000002e-05,0.0006378035256009999,Upregulated
FBgn0040736,IM3,0.891500552291768,1.03e-10,1.06e-08,Upregulated
FBgn0025583,IM2,0.895770064183607,6.46e-16,1.31e-13,Upregulated
FBgn0013307,Odc1,0.930074199804277,1.32e-11,1.58e-09,Upregulated
FBgn0265200,CR44260,0.9443211424843572,2.26e-06,0.000101597457889,Upregulated
FBgn0035607,CG4835,0.9482569639209252,3.24e-08,2.26e-06,Upregulated
FBgn0035282,CNMa,0.956230555110864,6.8e-06,0.000273149369999,Upregulated
FBgn0031249,CG11911,0.96248852526925,1.59e-11,1.85e-09,Upregulated
FBgn0031805,CG9505,0.9658030762268008,2.16e-08,1.55e-06,Upregulated
FBgn0044812,TotC,0.978709884674044,1.89e-06,8.690000000000001e-05,Upregulated
