id,semantic_groups,preflabel,name,synonyms,description
HGNC:4851,GENE,HTT,huntingtin,HD|IT15|LOMARS,"Huntingtin is a disease gene linked to Huntington's disease, a neurodegenerative disorder characterized by loss of striatal neurons. This is thought to be caused by an expanded, unstable trinucleotide repeat in the huntingtin gene, which translates as a polyglutamine repeat in the protein product. A fairly broad range of trinucleotide repeats (9-35) has been identified in normal controls, and repeat numbers in excess of 40 have been described as pathological. The huntingtin locus is large, spanning 180 kb and consisting of 67 exons. The huntingtin gene is widely expressed and is required for normal development. It is expressed as 2 alternatively polyadenylated forms displaying different relative abundance in various fetal and adult tissues. The larger transcript is approximately 13.7 kb and is expressed predominantly in adult and fetal brain whereas the smaller transcript of approximately 10.3 kb is more widely expressed. The genetic defect leading to Huntington's disease may not necessarily eliminate transcription, but may confer a new property on the mRNA or alter the function of the protein. One candidate is the huntingtin-associated protein-1, highly expressed in brain, which has increased affinity for huntingtin protein with expanded polyglutamine repeats. This gene contains an upstream open reading frame in the 5' UTR that inhibits expression of the huntingtin gene product through translational repression. [provided by RefSeq, Jul 2016]."
HGNC:9004,GENE,PITX1,paired like homeodomain 1,BFT|CCF|LBNBG|POTX|PTX1,"This gene encodes a member of the RIEG/PITX homeobox family, which is in the bicoid class of homeodomain proteins. Members of this family are involved in organ development and left-right asymmetry. This protein acts as a transcriptional regulator involved in basal and hormone-regulated activity of prolactin. [provided by RefSeq, Jul 2008]."
HGNC:5120,GENE,HOXB9,homeobox B9,HOX-2.5|HOX2|HOX2E,"This gene is a member of the Abd-B homeobox family and encodes a protein with a homeobox DNA-binding domain. It is included in a cluster of homeobox B genes located on chromosome 17. The encoded nuclear protein functions as a sequence-specific transcription factor that is involved in cell proliferation and differentiation. Increased expression of this gene is associated with some cases of leukemia, prostate cancer and lung cancer. [provided by RefSeq, Jul 2008]."
HGNC:5122,GENE,HOXC10,homeobox C10,HOX3I,"This gene belongs to the homeobox family of genes. The homeobox genes encode a highly conserved family of transcription factors that play an important role in morphogenesis in all multicellular organisms. Mammals possess four similar homeobox gene clusters, HOXA, HOXB, HOXC and HOXD, which are located on different chromosomes and consist of 9 to 11 genes arranged in tandem. This gene is one of several homeobox HOXC genes located in a cluster on chromosome 12. The protein level is controlled during cell differentiation and proliferation, which may indicate this protein has a role in origin activation. [provided by RefSeq, Jul 2008]."
HGNC:5101,GENE,HOXA11,homeobox A11,HOX1|HOX1I|RUSAT1,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor which may regulate gene expression, morphogenesis, and differentiation. This gene is involved in the regulation of uterine development and is required for female fertility. Mutations in this gene can cause radio-ulnar synostosis with amegakaryocytic thrombocytopenia. [provided by RefSeq, Jul 2008]."
HGNC:5100,GENE,HOXA10,homeobox A10,HOX1|HOX1.8|HOX1H|PL,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor that may regulate gene expression, morphogenesis, and differentiation. More specifically, it may function in fertility, embryo viability, and regulation of hematopoietic lineage commitment. Alternatively spliced transcript variants have been described. Read-through transcription also exists between this gene and the downstream homeobox A9 (HOXA9) gene. [provided by RefSeq, Mar 2011]."
HGNC:5133,GENE,HOXD10,homeobox D10,HOX4|HOX4D|HOX4E|Hox-4.4,"This gene is a member of the Abd-B homeobox family and encodes a protein with a homeobox DNA-binding domain. It is included in a cluster of homeobox D genes located on chromosome 2. The encoded nuclear protein functions as a sequence-specific transcription factor that is expressed in the developing limb buds and is involved in differentiation and limb development. Mutations in this gene have been associated with Wilm's tumor and congenital vertical talus (also known as 'rocker-bottom foot' deformity or congenital convex pes valgus) and/or a foot deformity resembling that seen in Charcot-Marie-Tooth disease. [provided by RefSeq, Jul 2008]."
HGNC:9219,GENE,POU4F2,POU class 4 homeobox 2,BRN3.2|BRN3B|Brn-3b,"The protein encoded by this gene is a member of the POU-domain transcription factor family and may be involved in maintaining visual system neurons in the retina. The level of the encoded protein is also elevated in a majority of breast cancers, resulting in accelerated tumor growth. [provided by RefSeq, Sep 2011]."
HGNC:5102,GENE,HOXA13,homeobox A13,HOX1|HOX1J,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor which may regulate gene expression, morphogenesis, and differentiation. Expansion of a polyalanine tract in the encoded protein can cause hand-foot-uterus syndrome, also known as hand-foot-genital syndrome. [provided by RefSeq, Jul 2008]."
HGNC:5140,GENE,HOXD9,homeobox D9,HOX4|HOX4C|Hox-4.3|Hox-5.2,"This gene belongs to the homeobox family of genes. The homeobox genes encode a highly conserved family of transcription factors that play an important role in morphogenesis in all multicellular organisms. Mammals possess four similar homeobox gene clusters, HOXA, HOXB, HOXC and HOXD, located on different chromosomes, consisting of 9 to 11 genes arranged in tandem. This gene is one of several homeobox HOXD genes located at 2q31-2q37 chromosome regions. Deletions that removed the entire HOXD gene cluster or 5' end of this cluster have been associated with severe limb and genital abnormalities. The exact role of this gene has not been determined. [provided by RefSeq, Jul 2008]."
HGNC:5139,GENE,HOXD8,homeobox D8,HOX4|HOX4E|HOX5.4,"This gene belongs to the homeobox family of genes. The homeobox genes encode a highly conserved family of transcription factors that play an important role in morphogenesis in all multicellular organisms. Mammals possess four similar homeobox gene clusters, HOXA, HOXB, HOXC and HOXD, located on different chromosomes, consisting of 9 to 11 genes arranged in tandem. This gene is one of several homeobox HOXD genes located in a cluster on chromosome 2. Deletions that remove the entire HOXD gene cluster or the 5' end of this cluster have been associated with severe limb and genital abnormalities. In addition to effects during embryogenesis, this particular gene may also play a role in adult urogenital tract function. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Dec 2010]."
HGNC:5106,GENE,HOXA5,homeobox A5,HOX1|HOX1.3|HOX1C,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor which may regulate gene expression, morphogenesis, and differentiation. Methylation of this gene may result in the loss of its expression and, since the encoded protein upregulates the tumor suppressor p53, this protein may play an important role in tumorigenesis. [provided by RefSeq, Jul 2008]."
HGNC:23094,GENE,SLC16A12,solute carrier family 16 member 12,CJMG|CRT2|CTRCT47|MCT12,"This gene encodes a transmembrane transporter that likely plays a role in monocarboxylic acid transport. A mutation in this gene has been associated with juvenile cataracts with microcornea and renal glucosuria. [provided by RefSeq, Mar 2010]."
HGNC:4807,GENE,HAND1,heart and neural crest derivatives expressed 1,Hxt|Thing1|bHLHa27|eHand,"The protein encoded by this gene belongs to the basic helix-loop-helix family of transcription factors. This gene product is one of two closely related family members, the HAND proteins, which are asymmetrically expressed in the developing ventricular chambers and play an essential role in cardiac morphogenesis. Working in a complementary fashion, they function in the formation of the right ventricle and aortic arch arteries, implicating them as mediators of congenital heart disease. In addition, it has been suggested that this transcription factor may be required for early trophoblast differentiation. [provided by RefSeq, Jul 2008]."
HGNC:8518,GENE,OTP,orthopedia homeobox,NA,"This gene encodes a member of the homeodomain (HD) family. HD family proteins are helix-turn-helix transcription factors that play key roles in the specification of cell fates. This protein may function during brain development. [provided by RefSeq, Jul 2008]."
HGNC:18015,GENE,IL17RB,interleukin 17 receptor B,CRL4|EVI27|IL17BR|IL17RH1,"The protein encoded by this gene is a cytokine receptor. This receptor specifically binds to IL17B and IL17E, but does not bind to IL17 and IL17C. This receptor has been shown to mediate the activation of NF-kappaB and the production of IL8 induced by IL17E. The expression of the rat counterpart of this gene was found to be significantly up-regulated during intestinal inflammation, which suggested the immunoregulatory activity of this receptor. [provided by RefSeq, Jul 2008]."
HGNC:30927,GENE,SLC6A20,solute carrier family 6 member 20,IMINO|SIT1|XT3|Xtrp3,"Transport of small hydrophilic substances across cell membranes is mediated by substrate-specific transporter proteins which have been classified into several families of related genes. The protein encoded by this gene belongs to the sodium:neurotransmitter symporter (SNF) family and functions as a proline transporter expressed in kidney and small intestine. Mutations in this gene are associated with Hyperglycinuria and Iminoglycinuria. [provided by RefSeq, Jul 2020]."
